basiszins_prozent;gueltig_ab
1,27;01.07.2025
2,27;01.01.2025
3,37;01.07.2024
3,62;01.01.2024
3,12;01.07.2023
1,62;01.01.2023
-0,88;01.07.2022
-0,88;01.01.2022
-0,88;01.07.2021
-0,88;01.01.2021
-0,88;01.07.2020
-0,88;01.01.2020
-0,88;01.07.2019
-0,88;01.01.2019
-0,88;01.07.2018
-0,88;01.01.2018
-0,88;01.07.2017
-0,88;01.01.2017
-0,88;01.07.2016
-0,83;01.01.2016
-0,83;01.07.2015
-0,83;01.01.2015
-0,73;01.07.2014
-0,63;01.01.2014
-0,38;01.07.2013
-0,13;01.01.2013
0,12;01.07.2012
0,12;01.01.2012
0,37;01.07.2011
0,12;01.01.2011
0,12;01.07.2010
0,12;01.01.2010
0,12;01.07.2009
1,62;01.01.2009
3,19;01.07.2008
3,32;01.01.2008
3,19;01.07.2007
2,70;01.01.2007
1,95;01.07.2006
1,37;01.01.2006
1,17;01.07.2005
1,21;01.01.2005
1,13;01.07.2004
1,14;01.01.2004
1,22;01.07.2003
1,97;01.01.2003
2,47;01.07.2002
